Name,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_K%,MarApr_BB%,MarApr_BABIP,MarApr_ISO,MarApr_AVG,MarApr_SLG,MarApr_OBP,FullSeason_AVG
"Norris, Derek",75,70,13,1,24,2.7,0.226,0.071,0.186,0.257,0.213,0.201
"Díaz, Aledmys",94,92,20,4,9.6,2.1,0.203,0.174,0.217,0.391,0.234,0.259
"Conforto, Michael",65,56,18,6,21.5,9.2,0.316,0.339,0.321,0.661,0.385,0.279
"Collins, Tyler",70,65,19,1,21.4,7.1,0.367,0.092,0.292,0.385,0.343,0.193
"Posey, Buster",73,65,23,1,13.7,9.6,0.407,0.077,0.354,0.431,0.425,0.32
"McCann, James",65,55,9,5,20,13.8,0.105,0.273,0.164,0.436,0.277,0.253
"Gonzalez, Marwin",65,54,11,5,21.5,12.3,0.171,0.296,0.204,0.5,0.317,0.303
"Maldonado, Martín",72,61,16,0,27.8,8.3,0.39,0.049,0.262,0.311,0.357,0.221
"Turner, Trea",66,63,20,2,22.7,4.5,0.391,0.238,0.317,0.556,0.348,0.284
"Joseph, Tommy",72,67,12,1,27.8,5.6,0.234,0.075,0.179,0.254,0.222,0.24
"Pederson, Joc",59,50,11,1,30.5,11.9,0.313,0.12,0.22,0.34,0.322,0.212
"Gurriel, Yuli",82,79,26,2,13.4,1.2,0.364,0.152,0.329,0.481,0.354,0.299
"Molina, Yadier",78,71,19,1,15.4,3.8,0.295,0.099,0.268,0.366,0.295,0.273
"Vogt, Stephen",65,62,13,1,18.5,3.1,0.24,0.113,0.21,0.323,0.231,0.233
"Jankowski, Travis",59,50,8,0,35.6,11.9,0.276,0.02,0.16,0.18,0.263,0.187
"Pérez, Hernán",69,61,16,3,17.4,10.1,0.277,0.295,0.262,0.557,0.333,0.259
"Aoki, Norichika",66,60,18,1,13.6,6.1,0.333,0.083,0.3,0.383,0.338,0.277
"Phillips, Brandon",80,76,27,2,11.3,2.5,0.385,0.145,0.355,0.5,0.388,0.285
"Hicks, Aaron",57,44,13,4,12.3,19.3,0.265,0.318,0.295,0.614,0.429,0.266
"Díaz, Yandy",61,55,13,0,23,8.2,0.31,0.018,0.236,0.255,0.295,0.263
"Forsythe, Logan",54,44,13,0,29.6,11.1,0.448,0.045,0.295,0.341,0.407,0.224
"Castillo, Welington",72,70,22,1,23.6,2.8,0.404,0.129,0.314,0.443,0.333,0.282
"Cron, C.J.",65,60,14,0,18.5,3.1,0.286,0.033,0.233,0.267,0.277,0.248
"Marte, Starling",59,54,13,2,28.8,5.1,0.306,0.13,0.241,0.37,0.288,0.275
"Hernández, Gorkys",57,52,8,0,24.6,7,0.211,0.038,0.154,0.192,0.228,0.255
"Davidson, Matt",54,49,14,4,38.9,7.4,0.4,0.327,0.286,0.612,0.333,0.22
"Young, Chris",62,54,13,0,17.7,12.9,0.302,0.037,0.241,0.278,0.339,0.235
"Rosales, Adam",61,54,14,2,31.1,4.9,0.353,0.148,0.259,0.407,0.305,0.225
"Gomes, Yan",59,51,9,1,20.3,8.5,0.211,0.098,0.176,0.275,0.276,0.232
"Cabrera, Miguel",63,56,15,3,22.2,11.1,0.308,0.196,0.268,0.464,0.349,0.249
"Segura, Jean",62,60,19,2,19.4,1.6,0.37,0.15,0.317,0.467,0.339,0.3
"Gattis, Evan",65,56,18,2,13.8,10.8,0.348,0.196,0.321,0.518,0.4,0.263
"Iglesias, José",63,60,14,1,9.5,3.2,0.245,0.15,0.233,0.383,0.258,0.255
"Decker, Jaff",52,42,8,0,28.8,13.5,0.296,0.071,0.19,0.262,0.32,0.2
"Báez, Javier",62,59,12,1,33.9,,0.289,0.136,0.203,0.339,0.213,0.273
"Lucroy, Jonathan",66,63,13,1,7.6,3,0.211,0.079,0.206,0.286,0.242,0.265
"Mancini, Trey",53,51,11,5,35.8,3.8,0.222,0.333,0.216,0.549,0.245,0.293
"Frazier, Adam",54,49,15,1,13,7.4,0.341,0.143,0.306,0.449,0.37,0.276
"Martin, Leonys",58,54,6,0,24.1,5.2,0.15,0.019,0.111,0.13,0.172,0.172
"Piña, Manny",52,48,18,1,9.6,7.7,0.405,0.188,0.375,0.563,0.423,0.279
"Barnhart, Tucker",68,63,17,0,19.1,4.4,0.34,0.063,0.27,0.333,0.303,0.27
"Peterson, Jace",56,51,13,0,21.4,8.9,0.333,0.098,0.255,0.353,0.321,0.215
"Tulowitzki, Troy",60,57,15,1,10,3.3,0.275,0.123,0.263,0.386,0.283,0.249
"Pearce, Steve",57,54,9,0,29.8,5.3,0.243,0,0.167,0.167,0.211,0.252
"Smith, Seth",49,42,10,2,16.3,10.2,0.25,0.238,0.238,0.476,0.347,0.258
"Davis, Rajai",61,56,12,1,19.7,6.6,0.25,0.161,0.214,0.375,0.262,0.235
"Iannetta, Chris",48,43,9,2,25,8.3,0.241,0.163,0.209,0.372,0.292,0.254
"Hernández, Marco",54,52,15,0,24.1,1.9,0.385,0.038,0.288,0.327,0.315,0.276
"Romine, Andrew",59,56,14,1,22,3.4,0.31,0.125,0.25,0.375,0.288,0.233
"Dietrich, Derek",54,46,10,0,20.4,7.4,0.286,0.065,0.217,0.283,0.333,0.249
"Romine, Austin",57,51,16,2,15.8,7,0.333,0.157,0.314,0.471,0.351,0.218
"García, Leury",61,58,18,2,11.5,1.6,0.32,0.19,0.31,0.5,0.328,0.27
"Semien, Marcus",46,35,6,0,23.9,21.7,0.25,0.057,0.171,0.229,0.37,0.249
"Bandy, Jett",53,49,16,4,20.8,5.7,0.353,0.306,0.327,0.633,0.377,0.207
"Hernández, Enrique",52,47,11,2,13.5,7.7,0.231,0.298,0.234,0.532,0.288,0.215
"Weeks Jr., Rickie",47,39,7,1,46.8,10.6,0.375,0.128,0.179,0.308,0.319,0.216
"Wolters, Tony",53,50,18,0,20.8,3.8,0.462,0.1,0.36,0.46,0.396,0.24
"Jay, Jon",47,39,15,0,21.3,12.8,0.517,0.103,0.385,0.487,0.478,0.296
"Flowers, Tyler",54,46,18,0,20.4,13,0.514,0.043,0.391,0.435,0.481,0.281
"Jaso, John",49,42,6,1,26.5,14.3,0.179,0.095,0.143,0.238,0.265,0.211
"d'Arnaud, Travis",58,53,12,4,17.2,6.9,0.205,0.302,0.226,0.528,0.293,0.244
"Hundley, Nick",54,52,10,0,24.1,,0.25,0.135,0.192,0.327,0.189,0.244
"Descalso, Daniel",51,45,8,2,25.5,11.8,0.2,0.156,0.178,0.333,0.275,0.233
"Almora Jr., Albert",53,47,13,2,17,9.4,0.306,0.191,0.277,0.468,0.346,0.298
"Marte, Jefry",56,51,9,2,28.6,7.1,0.212,0.157,0.176,0.333,0.25,0.173
"Kemp, Matt",58,56,18,6,24.1,3.4,0.333,0.411,0.321,0.732,0.345,0.276
"Garneau, Dustin",50,46,9,1,38,4,0.308,0.174,0.196,0.37,0.245,0.188
"Duda, Lucas",48,42,10,4,31.3,12.5,0.261,0.333,0.238,0.571,0.333,0.217
"Rojas, Miguel",54,47,12,0,11.1,9.3,0.286,0.064,0.255,0.319,0.321,0.29
"Span, Denard",53,50,10,0,13.2,5.7,0.233,0.08,0.2,0.28,0.245,0.272
"Torreyes, Ronald",67,67,21,1,9,,0.333,0.119,0.313,0.433,0.313,0.292
"Barney, Darwin",51,48,14,0,23.5,5.9,0.389,0.021,0.292,0.313,0.333,0.232
"Jones, JaCoby",45,40,6,1,42.2,8.9,0.25,0.15,0.15,0.3,0.244,0.17
"Utley, Chase",46,41,5,0,13,10.9,0.143,0.024,0.122,0.146,0.217,0.236
"Goins, Ryan",49,45,9,1,16.3,8.2,0.222,0.133,0.2,0.333,0.265,0.237
"León, Sandy",51,50,9,1,15.7,2,0.195,0.1,0.18,0.28,0.196,0.225
"Kendrick, Howie",43,39,13,0,20.9,9.3,0.433,0.154,0.333,0.487,0.395,0.315
"Heredia, Guillermo",52,49,16,2,9.6,5.8,0.333,0.163,0.327,0.49,0.365,0.249
"Profar, Jurickson",46,37,5,0,17.4,17.4,0.172,0,0.135,0.135,0.289,0.172
"Prado, Martín",42,40,11,2,11.9,4.8,0.273,0.175,0.275,0.45,0.31,0.25
"Difo, Wilmer",50,46,10,0,16,6,0.263,0.043,0.217,0.261,0.28,0.271
"Garcia, Greg",46,39,12,0,19.6,10.9,0.4,0.077,0.308,0.385,0.4,0.253
"Altherr, Aaron",48,44,13,2,29.2,6.3,0.393,0.227,0.295,0.523,0.354,0.272
"Gennett, Scooter",51,50,14,3,17.6,2,0.289,0.26,0.28,0.54,0.294,0.295
"Nava, Daniel",44,32,11,2,18.2,22.7,0.391,0.25,0.344,0.594,0.5,0.301
"Avila, Alex",44,37,15,4,22.7,15.9,0.478,0.378,0.405,0.784,0.5,0.264
"Bradley Jr., Jackie",48,43,9,1,25,8.3,0.258,0.116,0.209,0.326,0.271,0.245
"Chisenhall, Lonnie",49,43,13,2,12.2,6.1,0.306,0.209,0.302,0.512,0.34,0.288
"DeShields, Delino",38,31,8,0,26.3,15.8,0.381,0,0.258,0.258,0.378,0.269
"Orlando, Paulo",49,47,7,0,30.6,2,0.219,0,0.149,0.149,0.184,0.198
"Kim, Hyun Soo",40,35,9,1,17.5,10,0.296,0.114,0.257,0.371,0.35,0.231
"Narváez, Omar",39,33,9,0,12.8,15.4,0.321,0.03,0.273,0.303,0.385,0.277
"Adams, Matt",39,34,9,0,33.3,10.3,0.409,0.059,0.265,0.324,0.333,0.274
"Mathis, Jeff",49,48,6,1,34.7,2,0.167,0.146,0.125,0.271,0.143,0.215
"May, Jacob",38,32,1,0,39.5,7.9,0.059,0,0.031,0.031,0.139,0.056
"Rua, Ryan",42,40,7,1,38.1,4.8,0.261,0.1,0.175,0.275,0.214,0.217
"Asche, Cody",46,43,4,0,34.8,4.3,0.148,0,0.093,0.093,0.152,0.105
"Aguilar, Jesús",39,36,8,0,35.9,7.7,0.364,0.056,0.222,0.278,0.282,0.265
"Mondesi, Adalberto",46,39,4,1,34.8,6.5,0.136,0.077,0.103,0.179,0.167,0.17
"Ahmed, Nick",48,47,10,1,20.8,2.1,0.25,0.106,0.213,0.319,0.229,0.251
"Escobar, Eduardo",39,34,8,2,17.9,10.3,0.24,0.206,0.235,0.441,0.333,0.254
"Gentry, Craig",37,31,6,1,35.1,13.5,0.278,0.129,0.194,0.323,0.297,0.257
"Marrero, Chris",41,38,5,1,22,4.9,0.138,0.079,0.132,0.211,0.171,0.132
"Rivera, René",38,36,9,1,31.6,2.6,0.333,0.111,0.25,0.361,0.263,0.252
"Sánchez, Yolmer",39,39,9,1,17.9,,0.258,0.205,0.231,0.436,0.231,0.267
"Kipnis, Jason",33,31,5,0,33.3,6.1,0.25,0,0.161,0.161,0.212,0.232
"Robertson, Daniel",34,29,5,1,35.3,11.8,0.25,0.103,0.172,0.276,0.273,0.225
"Suzuki, Kurt",41,33,6,1,14.6,7.3,0.179,0.091,0.182,0.273,0.293,0.283
"Bourjos, Peter",35,31,5,1,22.9,11.4,0.182,0.097,0.161,0.258,0.257,0.223
"Merrifield, Whit",39,35,8,2,10.3,7.7,0.207,0.229,0.229,0.457,0.308,0.288
"Donaldson, Josh",35,29,9,2,34.3,17.1,0.467,0.276,0.31,0.586,0.429,0.27
"Vázquez, Christian",36,34,14,0,19.4,,0.519,0.176,0.412,0.588,0.444,0.29
"Carter, Chris",41,38,8,1,31.7,4.9,0.28,0.158,0.211,0.368,0.244,0.201
"Martínez, José",42,38,13,1,9.5,7.1,0.364,0.132,0.342,0.474,0.39,0.309
"Van Slyke, Scott",35,31,4,1,34.3,11.4,0.167,0.129,0.129,0.258,0.229,0.122
"Soto, Geovany",36,32,6,3,22.2,11.1,0.143,0.281,0.188,0.469,0.278,0.19
"Guyer, Brandon",36,34,5,1,16.7,,0.148,0.088,0.147,0.235,0.194,0.236
"Herrmann, Chris",37,36,6,1,21.6,2.7,0.185,0.083,0.167,0.25,0.189,0.181
"Revere, Ben",39,38,7,0,10.3,2.6,0.206,0.053,0.184,0.237,0.205,0.275
"Jackson, Austin",34,30,8,1,20.6,11.8,0.318,0.233,0.267,0.5,0.353,0.318
"Stassi, Brock",34,31,6,2,26.5,8.8,0.2,0.258,0.194,0.452,0.265,0.167
"Peterson, Shane",40,37,10,1,27.5,5,0.36,0.135,0.27,0.405,0.325,0.253
"Mahtook, Mikie",35,31,6,1,28.6,8.6,0.25,0.161,0.194,0.355,0.286,0.276
"Hechavarría, Adeiny",46,45,12,0,8.7,2.2,0.293,0.067,0.267,0.333,0.283,0.261
"Coghlan, Chris",33,28,6,0,33.3,9.1,0.333,0.036,0.214,0.25,0.303,0.2
"Nieuwenhuis, Kirk",30,25,2,1,50,13.3,0.111,0.16,0.08,0.24,0.233,0.115
"Flores, Wilmer",36,35,6,2,13.9,2.8,0.143,0.171,0.171,0.343,0.194,0.271
"Barnes, Austin",29,26,6,1,27.6,10.3,0.294,0.269,0.231,0.5,0.31,0.289
"Montero, Miguel",34,33,13,2,26.5,2.9,0.5,0.212,0.394,0.606,0.412,0.216
"Gillaspie, Conor",35,30,6,0,11.4,8.6,0.222,0.033,0.2,0.233,0.286,0.163
"Córdoba, Allen",34,31,8,2,26.5,5.9,0.3,0.194,0.258,0.452,0.324,0.208
"Pérez, Roberto",32,30,6,0,18.8,3.1,0.24,0.033,0.2,0.233,0.219,0.207
"Cardullo, Stephen",32,28,4,0,21.9,9.4,0.19,0,0.143,0.143,0.25,0.143
"Lind, Adam",30,29,10,2,6.7,3.3,0.32,0.31,0.345,0.655,0.367,0.303
"Taylor, Michael A.",34,32,7,0,35.3,2.9,0.333,0.031,0.219,0.25,0.235,0.271
"Ruiz, Carlos",27,21,3,0,25.9,14.8,0.214,0.048,0.143,0.19,0.333,0.216
"Cuthbert, Cheslor",31,29,4,1,22.6,6.5,0.143,0.103,0.138,0.241,0.194,0.231
"Chirinos, Robinson",30,25,8,4,30,13.3,0.333,0.52,0.32,0.84,0.433,0.255
"Saltalamacchia, Jarrod",26,25,1,0,61.5,3.8,0.111,0,0.04,0.04,0.077,0.04
"Peralta, Jhonny",27,25,3,0,33.3,7.4,0.188,0,0.12,0.12,0.185,0.204
"Gimenez, Chris",30,24,4,0,23.3,20,0.235,0.083,0.167,0.25,0.333,0.22
"Taylor, Chris",29,27,8,2,31,6.9,0.375,0.296,0.296,0.593,0.345,0.288
"Knapp, Andrew",27,23,7,1,18.5,14.8,0.353,0.261,0.304,0.565,0.407,0.257
"Hill, Aaron",29,25,3,1,27.6,13.8,0.125,0.12,0.12,0.24,0.241,0.132
"Blash, Jabari",27,20,1,1,37,25.9,0,0.15,0.05,0.2,0.296,0.213
"Rivera, T.J.",29,25,5,0,20.7,10.3,0.263,0.08,0.2,0.28,0.286,0.29
"Lagares, Juan",26,23,3,0,23.1,11.5,0.176,0,0.13,0.13,0.231,0.25
"Marisnick, Jake",25,21,6,2,40,16,0.444,0.286,0.286,0.571,0.4,0.243
"Holt, Brock",19,15,2,0,36.8,21.1,0.25,0,0.133,0.133,0.316,0.2
"Bellinger, Cody",23,21,6,2,21.7,8.7,0.286,0.286,0.286,0.571,0.348,0.267
"Sucre, Jesús",25,24,7,1,16,4,0.316,0.125,0.292,0.417,0.32,0.256
"Hazelbaker, Jeremy",26,24,7,0,30.8,7.7,0.438,0.125,0.292,0.417,0.346,0.346
"Franklin, Nick",27,27,3,1,25.9,,0.105,0.185,0.111,0.296,0.111,0.179
"Suzuki, Ichiro",28,27,4,1,28.6,3.6,0.167,0.148,0.148,0.296,0.179,0.255
"Arroyo, Christian",29,29,6,2,27.6,,0.211,0.207,0.207,0.414,0.207,0.192
"Heisey, Chris",24,22,4,1,25,8.3,0.2,0.182,0.182,0.364,0.25,0.162
"Ellis, A.J.",26,22,3,0,30.8,7.7,0.214,0,0.136,0.136,0.24,0.21
"Osuna, José",28,25,9,0,14.3,7.1,0.429,0.24,0.36,0.6,0.429,0.233
"Bonifacio, Jorge",26,24,7,1,19.2,7.7,0.333,0.125,0.292,0.417,0.346,0.255
"Sánchez, Gary",21,20,3,1,19,4.8,0.133,0.15,0.15,0.3,0.19,0.278
"Freeman, Mike",20,18,2,1,20,10,0.077,0.167,0.111,0.278,0.2,0.1
"Sardiñas, Luis",30,28,5,0,16.7,6.7,0.217,0,0.179,0.179,0.233,0.163
"Gamel, Ben",21,19,5,1,23.8,9.5,0.308,0.211,0.263,0.474,0.333,0.275
"Drew, Stephen",20,18,4,0,20,5,0.267,0.056,0.222,0.278,0.25,0.253
"Vogelbach, Daniel",17,14,2,0,23.5,17.6,0.2,0,0.143,0.143,0.294,0.214
"Phegley, Josh",31,31,7,1,12.9,,0.231,0.226,0.226,0.452,0.226,0.201
"Parker, Jarrett",22,21,3,0,45.5,4.5,0.273,0.095,0.143,0.238,0.182,0.247
"Fryer, Eric",22,20,4,0,18.2,9.1,0.25,0.1,0.2,0.3,0.273,0.155
"Hicks, John",27,26,11,1,11.1,3.7,0.455,0.231,0.423,0.654,0.444,0.266
"Lobaton, Jose",23,21,2,1,21.7,8.7,0.067,0.143,0.095,0.238,0.174,0.17
"Kivlehan, Patrick",24,20,6,0,33.3,12.5,0.5,0.05,0.3,0.35,0.417,0.208
"Bonifácio, Emilio",22,19,2,0,27.3,4.5,0.154,0.053,0.105,0.158,0.15,0.132
"Vargas, Kennys",20,18,6,1,15,10,0.357,0.167,0.333,0.5,0.4,0.253
"Spangenberg, Cory",22,21,6,0,31.8,,0.429,0.048,0.286,0.333,0.286,0.264
"Smith, Mallex",25,22,6,0,12,12,0.316,0.045,0.273,0.318,0.36,0.27
"Joseph, Caleb",22,22,4,1,18.2,,0.176,0.182,0.182,0.364,0.182,0.256
"Santana, Danny",21,20,2,0,33.3,4.8,0.154,0,0.1,0.1,0.143,0.202
"Turner, Stuart",20,18,4,0,30,5,0.308,0.167,0.222,0.389,0.25,0.134
"Alcántara, Arismendy",21,20,4,0,42.9,4.8,0.364,0.05,0.2,0.25,0.238,0.171
"Rickard, Joey",19,18,4,0,21.1,5.3,0.286,0,0.222,0.222,0.263,0.241
"Hanson, Alen",21,21,4,0,19,,0.235,0.095,0.19,0.286,0.19,0.221
"Machado, Dixon",20,17,2,0,10,10,0.133,0,0.118,0.118,0.211,0.259
"Pennington, Cliff",21,17,3,0,28.6,14.3,0.25,0,0.176,0.176,0.286,0.253
"Naquin, Tyler",18,17,4,0,27.8,5.6,0.333,0.059,0.235,0.294,0.278,0.216
"Adduci, Jim",22,20,8,0,22.7,9.1,0.533,0.25,0.4,0.65,0.455,0.241
"Pinder, Chad",18,17,4,1,27.8,5.6,0.273,0.235,0.235,0.471,0.278,0.238
"Sánchez, Héctor",16,15,2,1,37.5,6.3,0.125,0.2,0.133,0.333,0.188,0.219
"Stewart, Chris",16,15,5,0,12.5,6.3,0.385,0.2,0.333,0.533,0.375,0.183
"Canha, Mark",20,19,2,0,30,,0.154,0.053,0.105,0.158,0.15,0.208
"Amarista, Alexi",18,18,6,1,33.3,,0.455,0.278,0.333,0.611,0.333,0.238
"Stubbs, Drew",19,17,2,0,31.6,10.5,0.182,0,0.118,0.118,0.211,0.091
"Gosselin, Phil",21,21,3,0,19,,0.176,0.048,0.143,0.19,0.143,0.146
"Riddle, JT",17,14,2,1,35.3,,0.125,0.214,0.143,0.357,0.133,0.25
"Butera, Drew",17,16,3,0,23.5,,0.25,0.063,0.188,0.25,0.188,0.227
"Kershaw, Clayton",15,11,2,0,6.7,6.7,0.2,0,0.182,0.182,0.25,0.184
"Ngoepe, Gift",12,8,4,0,16.7,33.3,0.667,0.25,0.5,0.75,0.667,0.222
"Gutierrez, Franklin",14,13,3,0,28.6,7.1,0.333,0.154,0.231,0.385,0.286,0.232
"Greinke, Zack",13,12,1,0,30.8,7.7,0.125,0,0.083,0.083,0.154,0.21
"González, Gio",15,13,1,0,46.7,13.3,0.167,0,0.077,0.077,0.2,0.091
"Gregorius, Didi",15,15,7,0,6.7,,0.5,0.133,0.467,0.6,0.467,0.287
"Hellickson, Jeremy",12,11,1,0,16.7,,0.111,0.182,0.091,0.273,0.091,0.091
"Adames, Cristhian",14,13,0,0,42.9,7.1,0,0,0,0,0.071,0
"Szczur, Matt",12,11,2,0,33.3,8.3,0.286,0,0.182,0.182,0.25,0.226
"Torrens, Luis",13,12,1,0,30.8,7.7,0.125,0,0.083,0.083,0.154,0.163
"Chacín, Jhoulys",13,12,4,0,30.8,,0.5,0,0.333,0.333,0.333,0.222
"Blanco, Andr�s",13,11,3,1,23.1,15.4,0.286,0.364,0.273,0.636,0.385,0.192
"Valaika, Pat",15,14,5,0,13.3,6.7,0.417,0.214,0.357,0.571,0.4,0.258